model,manufacture,color,msrp,engine.cylinder,engine.stroke,displacement,bore,stroke,comp.ratio,starter,transmission,lubricator,final.drive,cooling,clutch,ignition,frame,front.suspension,rear.suspension,front.brake,rear.brake,wheelbase,seat.height,overall.length,overall.width,overall.height,clearance,fuel.cap,total.weight
KTM250EXC,KTM,orange,6398,1,2,249,66,72,,kick,5,oil,520 x-ring chain,liquid,wet multi-disc,digital,chromoly,WP,WP_PDS,disc,disc,58.1,36.4,,,,15.15,2.77,226.2
KTM250SX,KTM,orange,6248,1,2,249,66,72,,kick,5,,520 regina,liquid,wet multi-disc,digital,chromoly,WP,WP_PDS,disc,disc,58.1,36.4,,,,15.1,2,215.4
KTM300EXC,KTM,orange,6498,1,2,293,72,72,,kick,5,oil,520 x-ring chain,liquid,wet multi-disc,digital,chromoly,WP,WP_PDS,disc,disc,58.1,36.4,,,,15.15,2.77,224.4
KTM300MXC,KTM,orange,6398,1,2,293,72,72,,kick and electric,6,premix,520 x-ring chain,liquid,wet multi-disc,digital,chromoly,WP,WP_PDS,disc,disc,58.3,36.4,,,,15.15,2.77,224.4
KTM400EXC,KTM,orange,7198,1,4,398,89,64,11,kick and electric,6,oil,520 x-ring chain,liquid,wet multi-disc,digital,chromoly,WP,WP_PDS,disc,disc,58.3,36.4,,,,15.15,2.11,250
KTM450EXC,KTM,orange,7289,1,4,447,89,72,11,kick and electric,6,oil,520 x-ring chain,liquid,wet multi-disc,digital,chromoly,WP,WP_PDS,disc,disc,58.3,36.4,,,,15.15,2.11,248.7
KTM450MXC,KTM,orange,7048,1,4,448,89,72,11,kick and electric,6,oil,520 x-ring chain,liquid,wet multi-disc,digital,chromoly,WP,WP_PDS,disc,disc,58.3,36.4,,,,15.15,3.43,248.7
KTM450SX,KTM,orange,6498,1,4,449,95,63,12,kick,4,oil,520 regina,liquid,wet multi-disc,digital,chromoly,WP,WP_PDS,disc,disc,58.3,36.4,,,,15,1.85,231.93
KTM50MINI,KTM,orange,1598,1,2,49,40,40,,kick,1,oil,420 regina,air,centrifugal,selectra analog,central double,Marzocchi telescopic,single shock,drum,drum,35.63,20.9,,,,7.48,0.53,83.33
KTM50SENIOR,KTM,orange,2148,1,2,49,40,40,,kick,1,mixture,420 regina,air,centrifugal,selectra analog,double cradle,Marzocchi telescopic,single shock,disc,drum,40.55,25.6,,,,10.04,0.53,84.65
KTM50SXPROJUNIOR,KTM,orange,2998,1,2,49,40,40,,kick,1,mixture,420 regina,liquid,centrifugal,selectra analog,double cradle,Marzocchi telescopic,single shock,disc,drum,35.82,24,,,,8.66,0.48,82.89
KTM50SXPROSENIOR,KTM,orange,3298,1,2,49,40,40,,kick,,mixture,chain,liquid,centrifugal,selectra analog,double cradle,Marzocchi telescopic,single shock,disc,disc,40.55,25.6,,,,10.04,0.48,85.55
KTM525EXC,KTM,orange,7548,1,4,510,95,72,11,kick and electric,6,oil,520 x-ring chain,liquid,wet multi-disc,digital,chromoly,WP,WP_PDS,disc,disc,58.3,36.4,,,,15.15,2.11,249.3
KTM525MXC,KTM,orange,7348,1,4,510,95,72,11,kick and electric,6,oil,520 x-ring chain,liquid,wet multi-disc,digital,chromoly,WP,WP_PDS,disc,disc,58.3,36.4,,,,15.15,3.43,249.3
KTM525SX,KTM,orange,6798,1,4,510,95,72,11,kick,4,oil,520 regina,liquid,wet multi-disc,digital,chromoly,WP,WP_PDS,disc,disc,58.3,36.4,,,,15,1.85,233.69
KTM65SX,KTM,orange,3498,1,2,65,41,45,,kick,6,mixture,420 regina,liquid,wet multi-disc,digital,double cradle,Marzocchi telescopic,single shock,disc,disc,44.76,29.5,,,,11.41,0.87,122.57
KTM85SX,KTM,orange,3598,1,2,86,49,49,,kick,6,mixture,428 regina,liquid,wet multi-disc,digital,double cradle,WP,single shock,disc,disc,50.31,35.4,,,,16.33,1.32,149.9
SuzukiDR200SE,Suzuki,blue/white,3899,1,4,199,66,58,9,,5,wet sump,520 chain,,,digital,,telescopic fork,link type,disc,drum,55.3,31.9,84.9,31.7,46.7,10.2,3.4,249
